,Sentiment,URL,Title,Description,Date
0,0.296,https://economictimes.indiatimes.com/markets/ipos/fpos/with-drhp-hyundai-steers-towards-3-billion-public-listing/articleshow/111031692.cms,"With DRHP, Hyundai steers towards $3 billion public listing","India's largest public issue will be an offer-for-sale (OFS) of up to 142.2 million shares, or a 17.5% stake, by South Korean parent Hyundai Motor Co.",2024-06-16
1,0.745,https://economictimes.indiatimes.com/industry/auto/auto-news/boost-for-hyundai-motor-export-plans-as-auto-co-plans-to-launch-slew-of-evs-over-next-4-years/articleshow/111026895.cms,"Boost for Hyundai Motor export plans, as auto co plans to launch slew of EVs over next 4 years","Hyundai Motor India Ltd (HMIL) is planning a ₹25,000 crore IPO to drive its parent company's strategy of making India a key export hub. The company plans to introduce nearly half a dozen electric vehicles for local sales and exports as part of this ambitious …",2024-06-16
